"column_name","data_type","character_maximum_length","numeric_precision","numeric_scale","is_nullable"
"id","integer",NULL,32,0,"NO"
"url_id","integer",NULL,32,0,"YES"
"name","character varying",255,NULL,NULL,"NO"
"language","character varying",10,NULL,NULL,"YES"
"address","text",NULL,NULL,NULL,"YES"
"description","text",NULL,NULL,NULL,"YES"
"rating","numeric",NULL,3,1,"YES"
"total_reviews","integer",NULL,32,0,"YES"
"review_scores","jsonb",NULL,NULL,NULL,"YES"
"services","jsonb",NULL,NULL,NULL,"YES"
"facilities","jsonb",NULL,NULL,NULL,"YES"
"house_rules","text",NULL,NULL,NULL,"YES"
"important_info","text",NULL,NULL,NULL,"YES"
"rooms_info","jsonb",NULL,NULL,NULL,"YES"
"images_urls","jsonb",NULL,NULL,NULL,"YES"
"created_at","timestamp without time zone",NULL,NULL,NULL,"YES"
"updated_at","timestamp without time zone",NULL,NULL,NULL,"YES"
"url","character varying",512,NULL,NULL,"YES"
"rating_category","character varying",100,NULL,NULL,"YES"
"images_count","integer",NULL,32,0,"YES"
"scraped_at","timestamp without time zone",NULL,NULL,NULL,"YES"
